k,inertia,silhouette,variant
2,249768.31173497468,0.1372971384365139,raw
3,226288.31054901163,0.13736611793952305,raw
4,214786.64507815416,0.13556854766693527,raw
5,199338.4034983978,0.14597766888081493,raw
6,190598.59577965617,0.11369194740507138,raw
7,185377.34774978174,0.11639506068829769,raw
8,181924.95111961092,0.11170269056168304,raw
9,178990.50208749867,0.09190611566391041,raw
2,220276.70828476275,0.15438223588462005,optimized
3,196841.21234531095,0.1547990685564854,optimized
4,181603.69407180062,0.15830188899500933,optimized
5,169230.67281488836,0.1355370864716587,optimized
6,165459.4812136822,0.12869924388524775,optimized
7,157652.65136997128,0.13078685598357812,optimized
8,153256.43574056914,0.12090236416513776,optimized
9,149476.25420914136,0.11730671393703264,optimized
