min_samples,xi,min_cluster_size,n_clusters,noise_ratio,silhouette_excl_noise,purity_excl_noise
20,0.08,0.03,2,0.8611111111111112,0.6536418983334649,1.0
20,0.08,0.05,2,0.8611111111111112,0.6536418983334649,1.0
5,0.1,0.05,2,0.8802083333333334,0.6286684622872893,1.0
20,0.05,0.05,3,0.7916666666666666,0.620012090024931,0.9916666666666667
15,0.1,0.03,2,0.9305555555555556,0.5936426429020237,1.0
20,0.05,0.03,4,0.7569444444444444,0.5577678075632383,0.9928571428571429
15,0.08,0.03,4,0.8038194444444444,0.5194472166870537,1.0
15,0.08,0.05,2,0.8732638888888888,0.5172182850796566,1.0
10,0.08,0.05,3,0.8142361111111112,0.5077876659546071,1.0
10,0.08,0.03,4,0.78125,0.504759985198189,1.0
5,0.08,0.03,6,0.7048611111111112,0.47788932213682006,1.0
15,0.05,0.05,4,0.7552083333333334,0.4730712741204788,1.0
10,0.05,0.05,5,0.7204861111111112,0.4712353421108225,1.0
5,0.1,0.03,5,0.7708333333333334,0.46978709932532753,1.0
5,0.08,0.05,4,0.7482638888888888,0.4670431126340257,1.0
5,0.05,0.03,8,0.6493055555555556,0.46664517286551876,1.0
5,0.03,0.03,8,0.6440972222222222,0.46393705327609913,1.0
15,0.05,0.03,7,0.6510416666666666,0.4458531464066188,1.0
10,0.05,0.03,8,0.5989583333333334,0.4418248766402645,1.0
15,0.03,0.05,5,0.6631944444444444,0.44121651443204374,1.0
10,0.03,0.05,6,0.640625,0.4381149608668144,1.0
20,0.03,0.05,5,0.6597222222222222,0.437245976322548,0.9948979591836735
5,0.05,0.05,6,0.6440972222222222,0.43486480713017495,1.0
10,0.03,0.03,8,0.5642361111111112,0.43114019829471506,1.0
5,0.03,0.05,6,0.6163194444444444,0.4248085457642065,1.0
20,0.03,0.03,7,0.5850694444444444,0.4178089283916561,0.99581589958159
15,0.03,0.03,9,0.515625,0.4129688081719652,1.0
5,0.08,0.08,1,0.0,,0.25
5,0.1,0.08,1,0.0,,0.25
10,0.08,0.08,1,0.0,,0.25
10,0.1,0.05,1,0.0,,0.25
10,0.1,0.08,1,0.0,,0.25
15,0.05,0.08,1,0.0,,0.25
15,0.08,0.08,1,0.0,,0.25
15,0.1,0.05,1,0.0,,0.25
15,0.1,0.08,1,0.0,,0.25
20,0.08,0.08,1,0.0,,0.25
20,0.1,0.03,1,0.0,,0.25
20,0.1,0.05,1,0.0,,0.25
20,0.1,0.08,1,0.0,,0.25
15,0.03,0.08,1,0.08333333333333333,,0.2708333333333333
5,0.03,0.08,1,0.9131944444444444,,1.0
5,0.05,0.08,1,0.9131944444444444,,1.0
10,0.03,0.08,1,0.9184027777777778,,1.0
10,0.05,0.08,1,0.9184027777777778,,1.0
20,0.03,0.08,1,0.9184027777777778,,0.9787234042553191
20,0.05,0.08,1,0.9184027777777778,,0.9787234042553191
10,0.1,0.03,1,0.9670138888888888,,1.0
